id,dist_code,parent_dist_code,dist_name,dist_type,valid_flg,tokopedia_id,country_code,province_code,city_code,county_code,area_code,currency_code,dist_all,postal_code
1,00,,Indonesia,1,1,,00,,,,,IDR,Indonesia,
2,11,00,Nanggroe Aceh Darussalam (NAD),2,1,,00,11,,,,IDR,Nanggroe Aceh Darussalam (NAD),
3,11.01,11,Aceh Selatan,3,1,,00,11,11.01,,,IDR,Aceh Selatan,
4,11.01.01,11.01,Bakongan,4,1,,00,11,11.01,11.01.01,,IDR,"Bakongan, Aceh Selatan, Nanggroe Aceh Darussalam (NAD)",23773
5,11.01.01.2001,11.01.01,Keude Bakongan,5,1,,00,11,11.01,11.01.01,,IDR,"Keude Bakongan, Bakongan, Aceh Selatan, Nanggroe Aceh Darussalam (NAD)",23773
6,11.01.01.2015,11.01.01,Darul Ikhsan,5,1,,00,11,11.01,11.01.01,,IDR,"Darul Ikhsan, Bakongan, Aceh Selatan, Nanggroe Aceh Darussalam (NAD)",23773
7,11.01.02,11.01,Kluet Utara,4,1,,00,11,11.01,11.01.02,,IDR,"Kluet Utara, Aceh Selatan, Nanggroe Aceh Darussalam (NAD)",23771
8,11.01.02.2001,11.01.02,Fajar Harapan,5,1,,00,11,11.01,11.01.02,,IDR,"Fajar Harapan, Kluet Utara, Aceh Selatan, Nanggroe Aceh Darussalam (NAD)",23771
9,11.01.02.2002,11.01.02,Krueng Batee,5,1,,00,11,11.01,11.01.02,,IDR,"Krueng Batee, Kluet Utara, Aceh Selatan, Nanggroe Aceh Darussalam (NAD)",23771
10,11.01.02.2003,11.01.02,Pasi Kuala Asahan,5,1,,00,11,11.01,11.01.02,,IDR,"Pasi Kuala Asahan, Kluet Utara, Aceh Selatan, Nanggroe Aceh Darussalam (NAD)",23771
11,11.01.02.2005,11.01.02,Pulo Ie I,5,1,,00,11,11.01,11.01.02,,IDR,"Pulo Ie I, Kluet Utara, Aceh Selatan, Nanggroe Aceh Darussalam (NAD)",23771
12,11.01.02.2006,11.01.02,Jambo Manyang,5,1,,00,11,11.01,11.01.02,,IDR,"Jambo Manyang, Kluet Utara, Aceh Selatan, Nanggroe Aceh Darussalam (NAD)",23771
13,11.01.02.2007,11.01.02,Simpang Empat,5,1,,00,11,11.01,11.01.02,,IDR,"Simpang Empat, Kluet Utara, Aceh Selatan, Nanggroe Aceh Darussalam (NAD)",23771
14,11.01.02.2009,11.01.02,Pulo Kambing,5,1,,00,11,11.01,11.01.02,,IDR,"Pulo Kambing, Kluet Utara, Aceh Selatan, Nanggroe Aceh Darussalam (NAD)",23771
15,11.01.02.2010,11.01.02,Kampung Paya,5,1,,00,11,11.01,11.01.02,,IDR,"Kampung Paya, Kluet Utara, Aceh Selatan, Nanggroe Aceh Darussalam (NAD)",23771
16,11.01.02.2011,11.01.02,Krueng Batu,5,1,,00,11,11.01,11.01.02,,IDR,"Krueng Batu, Kluet Utara, Aceh Selatan, Nanggroe Aceh Darussalam (NAD)",23771
