id,dist_all,parent_dist_code,dist_code,dist_name,city_code,city_name,province_code,province_name,country_code,country_name,dist_type,valid_flg,tokopedia_id,county_code,area_code,currency_code,postal_code
4,"Bakongan, Aceh Selatan, Nanggroe Aceh Darussalam (NAD)",11.01,11.01.01,Bakongan,11.01,Aceh Selatan,11,Nanggroe Aceh Darussalam (NAD),00,Indonesia,4,1,,11.01.01,,IDR,23773
7,"Kluet Utara, Aceh Selatan, Nanggroe Aceh Darussalam (NAD)",11.01,11.01.02,Kluet Utara,11.01,Aceh Selatan,11,Nanggroe Aceh Darussalam (NAD),00,Indonesia,4,1,,11.01.02,,IDR,23771
24,"Kluet Selatan, Aceh Selatan, Nanggroe Aceh Darussalam (NAD)",11.01,11.01.03,Kluet Selatan,11.01,Aceh Selatan,11,Nanggroe Aceh Darussalam (NAD),00,Indonesia,4,1,,11.01.03,,IDR,23772
37,"Labuhan Haji, Aceh Selatan, Nanggroe Aceh Darussalam (NAD)",11.01,11.01.04,Labuhan Haji,11.01,Aceh Selatan,11,Nanggroe Aceh Darussalam (NAD),00,Indonesia,4,1,,11.01.04,,IDR,23761
54,"Meukek, Aceh Selatan, Nanggroe Aceh Darussalam (NAD)",11.01,11.01.05,Meukek,11.01,Aceh Selatan,11,Nanggroe Aceh Darussalam (NAD),00,Indonesia,4,1,,11.01.05,,IDR,23754
74,"Sawang, Aceh Selatan, Nanggroe Aceh Darussalam (NAD)",11.01,11.01.07,Sawang,11.01,Aceh Selatan,11,Nanggroe Aceh Darussalam (NAD),00,Indonesia,4,1,,11.01.07,,IDR,23753
87,"Trumon, Aceh Selatan, Nanggroe Aceh Darussalam (NAD)",11.01,11.01.09,Trumon,11.01,Aceh Selatan,11,Nanggroe Aceh Darussalam (NAD),00,Indonesia,4,1,,11.01.09,,IDR,23774
94,"Labuhan Haji Timur, Aceh Selatan, Nanggroe Aceh Darussalam (NAD)",11.01,11.01.11,Labuhan Haji Timur,11.01,Aceh Selatan,11,Nanggroe Aceh Darussalam (NAD),00,Indonesia,4,1,,11.01.11,,IDR,23758
105,"Labuhan Haji Barat, Aceh Selatan, Nanggroe Aceh Darussalam (NAD)",11.01,11.01.12,Labuhan Haji Barat,11.01,Aceh Selatan,11,Nanggroe Aceh Darussalam (NAD),00,Indonesia,4,1,,11.01.12,,IDR,23757
118,"Kluet Tengah, Aceh Selatan, Nanggroe Aceh Darussalam (NAD)",11.01,11.01.13,Kluet Tengah,11.01,Aceh Selatan,11,Nanggroe Aceh Darussalam (NAD),00,Indonesia,4,1,,11.01.13,,IDR,23772
131,"Kluet Timur, Aceh Selatan, Nanggroe Aceh Darussalam (NAD)",11.01,11.01.14,Kluet Timur,11.01,Aceh Selatan,11,Nanggroe Aceh Darussalam (NAD),00,Indonesia,4,1,,11.01.14,,IDR,23772
141,"Bakongan Timur, Aceh Selatan, Nanggroe Aceh Darussalam (NAD)",11.01,11.01.15,Bakongan Timur,11.01,Aceh Selatan,11,Nanggroe Aceh Darussalam (NAD),00,Indonesia,4,1,,11.01.15,,IDR,23773
145,"Trumon Timur, Aceh Selatan, Nanggroe Aceh Darussalam (NAD)",11.01,11.01.16,Trumon Timur,11.01,Aceh Selatan,11,Nanggroe Aceh Darussalam (NAD),00,Indonesia,4,1,,11.01.16,,IDR,"23774,23776"
152,"Kota Bahagia, Aceh Selatan, Nanggroe Aceh Darussalam (NAD)",11.01,11.01.17,Kota Bahagia,11.01,Aceh Selatan,11,Nanggroe Aceh Darussalam (NAD),00,Indonesia,4,1,,11.01.17,,IDR,23773
155,"Trumon Tengah, Aceh Selatan, Nanggroe Aceh Darussalam (NAD)",11.01,11.01.18,Trumon Tengah,11.01,Aceh Selatan,11,Nanggroe Aceh Darussalam (NAD),00,Indonesia,4,1,,11.01.18,,IDR,23774
165,"Lawe Alas, Aceh Tenggara, Nanggroe Aceh Darussalam (NAD)",11.02,11.02.01,Lawe Alas,11.02,Aceh Tenggara,11,Nanggroe Aceh Darussalam (NAD),00,Indonesia,4,1,,11.02.01,,IDR,24661
186,"Bambel, Aceh Tenggara, Nanggroe Aceh Darussalam (NAD)",11.02,11.02.03,Bambel,11.02,Aceh Tenggara,11,Nanggroe Aceh Darussalam (NAD),00,Indonesia,4,1,,11.02.03,,IDR,"24651,24671"
209,"Babussalam, Aceh Tenggara, Nanggroe Aceh Darussalam (NAD)",11.02,11.02.04,Babussalam,11.02,Aceh Tenggara,11,Nanggroe Aceh Darussalam (NAD),00,Indonesia,4,1,,11.02.04,,IDR,"24651,24671"
